# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = bernoulli_model
# start_datetime = 2023-10-13 01:40:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = bernoulli.json
# init = 2 (Default)
# random
#   seed = 769305535 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-74-g10b8ef0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.864925
# Diagonal elements of inverse mass matrix:
# 0.505499
-6.77155,0.989351,0.864925,2,7,0,6.83697,0.22356
-6.77806,0.99215,0.864925,1,3,0,6.85192,0.281436
-6.77838,1,0.864925,2,7,0,6.7786,0.220076
-6.8667,0.968046,0.864925,1,3,0,7.01805,0.313919
-6.78014,0.989094,0.864925,2,3,0,6.95547,0.282536
-6.81557,0.991783,0.864925,1,1,0,6.81716,0.297706
-6.81557,0.770565,0.864925,1,3,0,8.09908,0.297706
-6.75,0.995857,0.864925,1,3,0,6.84265,0.242197
-7.10385,0.922313,0.864925,1,3,0,7.24233,0.363837
-6.86437,1,0.864925,1,1,0,7.04508,0.313261
-6.86437,0.776917,0.864925,1,3,0,8.05997,0.313261
-6.74803,1,0.864925,2,3,0,6.85809,0.250337
-6.87249,0.972432,0.864925,1,3,0,6.91239,0.315527
-6.97565,0.939786,0.864925,2,3,0,7.33509,0.339913
-7.09578,0.969479,0.864925,1,1,0,7.12803,0.362462
-7.39623,0.922802,0.864925,1,1,0,7.4339,0.406533
-7.39623,0.669638,0.864925,1,3,0,9.2355,0.406533
-7.39623,0.74284,0.864925,1,1,0,8.19995,0.406533
-8.8576,0.870239,0.864925,2,3,0,8.87564,0.541444
-8.73949,1,0.864925,1,1,0,9.34408,0.532923
-8.675,1,0.864925,2,7,0,8.72904,0.0686876
-8.62978,1,0.864925,2,3,0,8.87334,0.0700343
-8.15972,1,0.864925,2,3,0,8.63396,0.0863936
-6.75146,0.954503,0.864925,1,3,0,8.74405,0.239726
-6.80942,0.991893,0.864925,2,3,0,6.82304,0.207991
-6.75045,1,0.864925,2,3,0,6.79752,0.258781
-6.91214,0.978729,0.864925,2,3,0,6.91471,0.18332
-6.9152,0.999473,0.864925,2,7,0,6.91812,0.326458
-6.89534,1,0.864925,1,1,0,6.94046,0.321558
-6.91393,0.921245,0.864925,1,3,0,7.38606,0.182987
-6.75426,0.98006,0.864925,2,3,0,7.1188,0.264136
-6.75092,0.998874,0.864925,1,3,0,6.76511,0.240567
-6.7607,0.97553,0.864925,2,3,0,6.94037,0.270245
-6.93185,0.977711,0.864925,2,3,0,6.93185,0.179756
